class	HUC8_code	region	subregion	basin	subbasin
1	05030202	Ohio Region	Upper Ohio	Upper Ohio-Little Kanawha	Upper Ohio-Shade
2	05030204	Ohio Region	Upper Ohio	Upper Ohio-Little Kanawha	Hocking
3	05040004	Ohio Region	Muskingum	Muskingum	Muskingum
4	05050006	Ohio Region	Kanawha	Kanawha	Upper Kanawha
5	05050008	Ohio Region	Kanawha	Kanawha	Lower Kanawha
6	05050009	Ohio Region	Kanawha	Kanawha	Coal
7	05070102	Ohio Region	Big Sandy-Guyandotte	Guyandotte	Lower Guyandotte
8	05070204	Ohio Region	Big Sandy-Guyandotte	Big Sandy	Big Sandy
9	05090101	Ohio Region	Middle Ohio	Middle Ohio-Raccoon	Raccoon-Symmes
10	05090102	Ohio Region	Middle Ohio	Middle Ohio-Raccoon	Twelvepole
11	05090103	Ohio Region	Middle Ohio	Middle Ohio-Raccoon	Little Scioto-Tygarts
12	03010107	South Atlantic-Gulf Region	Chowan-Roanoke	Roanoke	Lower Roanoke
13	05070101	Ohio Region	Big Sandy-Guyandotte	Guyandotte	Upper Guyandotte
14	05070201	Ohio Region	Big Sandy-Guyandotte	Big Sandy	Tug
15	05070202	Ohio Region	Big Sandy-Guyandotte	Big Sandy	Upper Levisa
16	05070203	Ohio Region	Big Sandy-Guyandotte	Big Sandy	Lower Levisa
17	05100201	Ohio Region	Kentucky-Licking	Kentucky	North Fork Kentucky
18	05130101	Ohio Region	Cumberland	Upper Cumberland	Upper Cumberland
19	06010101	Tennessee Region	Upper Tennessee	French Broad-Holston	North Fork Holston
20	06010102	Tennessee Region	Upper Tennessee	French Broad-Holston	South Fork Holston
21	06010104	Tennessee Region	Upper Tennessee	French Broad-Holston	Holston
22	06010205	Tennessee Region	Upper Tennessee	Upper Tennessee	Upper Clinch, Tennessee, Virginia
23	06010206	Tennessee Region	Upper Tennessee	Upper Tennessee	Powell
24	01070004	New England Region	Merrimack	Merrimack	Nashua
25	01070005	New England Region	Merrimack	Merrimack	Concord
26	01080202	New England Region	Connecticut	Lower Connecticut	Miller
27	01080203	New England Region	Connecticut	Lower Connecticut	Deerfield
28	01080204	New England Region	Connecticut	Lower Connecticut	Chicopee
29	01080205	New England Region	Connecticut	Lower Connecticut	Lower Connecticut
30	01080206	New England Region	Connecticut	Lower Connecticut	Westfield
31	01080207	New England Region	Connecticut	Lower Connecticut	Farmington
32	01090001	New England Region	Massachusetts-Rhode Island Coastal	Massachusetts-Rhode Island Coastal	Charles
33	01090002	New England Region	Massachusetts-Rhode Island Coastal	Massachusetts-Rhode Island Coastal	Cape Cod
34	01090003	New England Region	Massachusetts-Rhode Island Coastal	Massachusetts-Rhode Island Coastal	Blackstone
35	01090004	New England Region	Massachusetts-Rhode Island Coastal	Massachusetts-Rhode Island Coastal	Narragansett
36	01090005	New England Region	Massachusetts-Rhode Island Coastal	Massachusetts-Rhode Island Coastal	Pawcatuck-Wood
37	01100001	New England Region	Connecticut Coastal	Connecticut Coastal	Quinebaug
38	01100002	New England Region	Connecticut Coastal	Connecticut Coastal	Shetucket
39	01100003	New England Region	Connecticut Coastal	Connecticut Coastal	Thames
40	01100004	New England Region	Connecticut Coastal	Connecticut Coastal	Quinnipiac
41	01100005	New England Region	Connecticut Coastal	Connecticut Coastal	Housatonic
42	01100006	New England Region	Connecticut Coastal	Connecticut Coastal	Saugatuck
43	02020005	Mid Atlantic Region	Upper Hudson	Upper Hudson	Schoharie
44	02020006	Mid Atlantic Region	Upper Hudson	Upper Hudson	Middle Hudson
45	02020007	Mid Atlantic Region	Upper Hudson	Upper Hudson	Rondout
46	02020008	Mid Atlantic Region	Upper Hudson	Upper Hudson	Hudson-Wappinger
47	02030101	Mid Atlantic Region	Lower Hudson-Long Island	Lower Hudson	Lower Hudson
48	02030102	Mid Atlantic Region	Lower Hudson-Long Island	Lower Hudson	Bronx
49	02030103	Mid Atlantic Region	Lower Hudson-Long Island	Lower Hudson	Hackensack-Passaic
50	02030104	Mid Atlantic Region	Lower Hudson-Long Island	Lower Hudson	Sandy Hook-Staten Island
